ID,Category,Subcategory,Query,Success,Latency_ms,Cache_Type,Similarity,Context_Compressed,Query_Compressed,Compression_Ratio,Compression_Savings,Complexity,Strategy,Tokens_Used,Tokens_Saved,Savings_%,Reward,Error
28,orchestrator,complex,"Write a comprehensive analysis of distributed systems design patterns, including",False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
29,orchestrator,complex,Explain the mathematical foundations of gradient descent optimization in neural ,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
30,orchestrator,constrained,Give me a brief one-sentence answer: what is recursion?,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
31,bandit,cheap_trigger,What color is the sky?,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
32,bandit,cheap_trigger,How many days in a week?,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
33,bandit,cheap_trigger,What is 10 * 5?,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
34,bandit,balanced_trigger,Explain the difference between HTTP and HTTPS,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
35,bandit,balanced_trigger,What are REST API best practices?,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
36,bandit,premium_trigger,Provide a detailed technical analysis of blockchain consensus mechanisms includi,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
37,bandit,premium_trigger,Write an in-depth comparison of SQL vs NoSQL databases for enterprise applicatio,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
38,bandit,exploration,What is the best programming paradigm?,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
39,preferences,formal_tone,"Please explain APIs in a formal, technical manner suitable for developers",False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
40,preferences,casual_tone,"Hey, can you give me a simple explanation of databases? Keep it casual!",False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
41,preferences,list_format,List the top 5 programming languages with their use cases,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
42,preferences,code_format,Show me how to write a Python function with code examples,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
43,preferences,combined,Give me a detailed technical overview of GraphQL in a structured format,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
44,preferences,concise,Briefly explain what Docker containers are,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
45,edge_case,empty,,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,Empty query
46,edge_case,minimal,x,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
47,edge_case,special_chars,What is @#$%^&*() in programming?,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
48,edge_case,repetitive,very very very very very very very very very very very very very very very very ,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
49,quality,creative,Write a creative haiku about software engineering,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
50,quality,simplified,Explain recursion to a 5-year-old,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
51,quality,technical,What is the time complexity of binary search?,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
52,quality,comprehensive,What are the SOLID principles in software design?,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
