Query,Category,Subcategory,Baseline Tokens,Optimized Tokens,Savings,Savings %,Cache Hit,Cache Type,Similarity,Strategy,Context Injected,Query Compressed,Context Compressed
"Based on the comprehensive information about Python programming language that we discussed earlier, I need you to explain in detail how Python's object-oriented programming features work, including classes, inheritance, polymorphism, encapsulation, and how these concepts are implemented in Python. Also explain the difference between Python 2 and Python 3, the key features added in recent versions, and how Python's memory management works including garbage collection and reference counting.",compression,both_context_query,604,392,212,35.1%,False,,,cheap,False,False,False
Explain how compression works when LLMLingua is not available,compression,fallback,531,319,212,39.9%,False,,,cheap,False,False,False
What is 2+2?,orchestrator,simple,22,22,0,0.0%,False,,,cheap,False,False,False
Who is the president?,orchestrator,simple,49,60,0,0.0%,False,,,cheap,False,False,False
Explain how HTTP requests work in web development,orchestrator,medium,527,315,212,40.2%,False,,,cheap,False,False,False
What are the differences between REST and GraphQL APIs?,orchestrator,medium,530,318,212,40.0%,False,,,cheap,False,False,False
"Design a comprehensive microservices architecture for an e-commerce platform. Explain how to handle service discovery, API gateway patterns, distributed transactions, event-driven communication, data consistency, monitoring, and scaling strategies. Compare different approaches and recommend best practices.",orchestrator,complex,566,354,212,37.5%,False,,,cheap,False,False,False
"Explain the complete software development lifecycle from requirements gathering to deployment. Cover agile methodologies, CI/CD pipelines, testing strategies, code review processes, version control best practices, and DevOps principles.",orchestrator,complex,556,344,212,38.1%,False,,,cheap,False,False,False
Explain machine learning in detail,orchestrator,budget_constraint,524,0,524,100.0%,True,semantic_direct,0.8835208415985107,cheap,False,False,False
What is a variable?,bandit,cheap_strategy,203,213,0,0.0%,False,,,cheap,False,False,False
Define recursion,bandit,cheap_strategy,275,267,8,2.9%,False,,,cheap,False,False,False
What is a database?,bandit,cheap_strategy,369,312,57,15.4%,False,,,cheap,False,False,False
Explain the differences between SQL and NoSQL databases,bandit,balanced_strategy,528,316,212,40.2%,False,,,cheap,False,False,False
How do you implement authentication in a web application?,bandit,balanced_strategy,529,317,212,40.1%,False,,,cheap,False,False,False
What are the best practices for API design?,bandit,balanced_strategy,528,316,212,40.2%,False,,,cheap,False,False,False
"Design a scalable distributed system architecture that can handle millions of concurrent users. Explain load balancing strategies, database sharding, caching layers, CDN integration, and how to ensure high availability and fault tolerance.",bandit,premium_strategy,558,346,212,38.0%,False,,,cheap,False,False,False
"Explain how to build a real-time recommendation system using machine learning. Cover collaborative filtering, content-based filtering, hybrid approaches, model training, A/B testing, and production deployment strategies.",bandit,premium_strategy,555,343,212,38.2%,False,,,cheap,False,False,False
What is exploration in bandit algorithms?,bandit,exploration,412,315,97,23.5%,False,,,cheap,False,False,False
"Hey, can you tell me about Python? Keep it casual and simple.",preferences,tone_casual,218,625,0,0.0%,True,context,0.7922766208648682,cheap,True,False,True
"I would like to request a formal explanation of the Python programming language, please.",preferences,tone_formal,535,856,0,0.0%,True,context,0.8050915002822876,cheap,True,False,True
List the main features of Python programming language,preferences,format_list,527,315,212,40.2%,False,,,cheap,False,False,False
Show me a code example of how to use Python classes,preferences,format_code,530,318,212,40.0%,False,,,cheap,False,False,False
Explain Python in a simple way,preferences,confidence_building,318,798,0,0.0%,True,context,0.8232074975967407,cheap,True,False,True
Hi,edge_cases,very_short,17,17,0,0.0%,False,,,cheap,False,False,False
"I need an extremely detailed and comprehensive explanation covering multiple aspects of software engineering, including but not limited to: software design patterns, architectural patterns, design principles like SOLID, clean code practices, testing methodologies including unit testing, integration testing, and end-to-end testing, version control systems and Git workflows, code review processes, documentation standards, performance optimization techniques, security best practices, scalability considerations, database design and optimization, API design principles, microservices architecture, containerization with Docker, orchestration with Kubernetes, CI/CD pipeline implementation, monitoring and logging strategies, error handling and exception management, agile development methodologies, project management tools, collaboration practices, and how all these elements work together in a modern software development environment.",edge_cases,very_long,661,1149,0,0.0%,False,,,premium,False,False,False
"Explain regex patterns: [a-z]+\d{2,4} and how to use them in Python?",edge_cases,special_chars,541,329,212,39.2%,False,,,cheap,False,False,False
"Following up on our previous discussion about Python, explain how decorators work",edge_cases,multi_turn,532,320,212,39.8%,False,,,cheap,False,False,False
What is Python programming?,cache,exact_hit,524,0,524,100.0%,True,semantic_direct,0.8050915002822876,cheap,False,False,False
Explain artificial intelligence,cache,exact_hit,522,0,522,100.0%,True,semantic_direct,0.9412392377853394,cheap,False,False,False
What is machine learning?,cache,exact_hit,413,0,413,100.0%,True,semantic_direct,0.7750847935676575,cheap,False,False,False
