ID,Category,Subcategory,Query,Success,Latency_ms,Cache_Type,Similarity,Context_Compressed,Query_Compressed,Compression_Ratio,Compression_Savings,Complexity,Strategy,Tokens_Used,Tokens_Saved,Savings_%,Reward,Error
36,bandit,premium_trigger,Provide a detailed technical analysis of blockchain consensus mechanisms includi,True,19230,miss,,False,False,1.00,0,medium,cheap,330,212,39.1,0.9417,
37,bandit,premium_trigger,Write an in-depth comparison of SQL vs NoSQL databases for enterprise applicatio,True,15543,miss,,False,False,1.00,0,medium,cheap,330,212,39.1,0.9626,
38,bandit,exploration,What is the best programming paradigm?,True,13217,miss,,False,False,1.00,0,simple,cheap,314,80,20.3,0.9615,
39,preferences,formal_tone,"Please explain APIs in a formal, technical manner suitable for developers",True,17113,miss,,False,False,1.00,0,simple,cheap,319,212,39.9,0.9597,
40,preferences,casual_tone,"Hey, can you give me a simple explanation of databases? Keep it casual!",True,7619,miss,,False,False,1.00,0,simple,cheap,164,1,0.6,0.9765,
41,preferences,list_format,List the top 5 programming languages with their use cases,True,12224,miss,,False,False,1.00,0,simple,cheap,318,11,3.3,0.9622,
42,preferences,code_format,Show me how to write a Python function with code examples,True,17899,miss,,False,False,1.00,0,simple,cheap,318,212,40.0,0.9434,
43,preferences,combined,Give me a detailed technical overview of GraphQL in a structured format,True,16745,miss,,False,False,1.00,0,simple,cheap,320,212,39.8,0.9493,
44,preferences,concise,Briefly explain what Docker containers are,True,5719,context,0.820,True,False,0.40,450,simple,cheap,441,153,25.8,0.9823,
45,edge_case,empty,,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,Empty query
46,edge_case,minimal,x,True,3152,miss,,False,False,1.00,0,simple,cheap,39,1,2.5,0.9942,
47,edge_case,special_chars,What is @#$%^&*() in programming?,True,12602,miss,,False,False,1.00,0,simple,cheap,318,15,4.5,0.9671,
48,edge_case,repetitive,very very very very very very very very very very very very very very very very ,True,3635,miss,,False,False,1.00,0,complex,cheap,132,0,0.0,0.9898,
49,quality,creative,Write a creative haiku about software engineering,True,2778,miss,,False,False,1.00,0,simple,cheap,36,0,0.0,0.9945,
50,quality,simplified,Explain recursion to a 5-year-old,True,7418,miss,,False,False,1.00,0,simple,cheap,206,12,5.5,0.9776,
51,quality,technical,What is the time complexity of binary search?,True,7876,miss,,False,False,1.00,0,simple,cheap,164,0,0.0,0.9761,
52,quality,comprehensive,What are the SOLID principles in software design?,True,15641,miss,,False,False,1.00,0,simple,cheap,317,90,22.1,0.9639,
